"Tahun_Bekerja","Gaji"
"2","101348.88"
"1","112542.58"
"8","113931.57"
"1","93826.63"
"2","79084.1"
"8","149756.71"
"7","10062.8"
"4","119346.88"
"4","74940.5"
"2","71725.73"
"6","80181.12"
"3","76390.01"
"10","26260.98"
"5","190857.79"
"7","65951.65"
"3","64327.26"
"1","5097.67"
"9","14406.41"
"6","158684.81"
"6","54724.03"
"8","170886.17"
"8","138555.46"
"4","118913.53"
"3","8487.75"
"5","187616.16"
"3","124508.29"
"2","170041.95"
"9","38433.35"
"3","100187.43"
"3","140469.38"
"7","156731.91"
"9","81898.81"
"6","34410.55"
"9","142033.07"
"3","114066.77"
"7","98453.45"
"7","40812.9"
"6","178074.04"
"4","70154.22"
"8","181297.65"
"2","94153.83"
"2","194365.76"
"5","158338.39"
"4","126517.46"
"9","119708.21"
"9","117622.8"
"2","90878.13"
"2","194099.12"
"10","198059.16"
"5","86424.57"
"5","116978.19"
"8","164040.94"
"1","40014.76"
"1","113410.49"
"5","87107.57"
"4","1643.11"
"4","46775.28"
"5","84509.57"
"9","126494.82"
"1","178798.13"
"8","99398.36"
"4","92840.67"
"6","27758.36"
"1","110431.51"
"10","196673.28"
"5","113656.85"
"8","18203"
"2","28373.86"
"6","33953.87"
"5","58426.81"
"9","145562.4"
"1","22388"
"8","139161.64"
"9","148210.64"
"5","194239.63"
"10","98301.61"
"1","171413.66"
"2","136458.19"
"3","26019.59"
"4","159235.29"
"4","1907.66"
"10","114675.75"
"3","128643.35"
"9","151869.35"
"4","93251.42"
"3","156791.36"
"5","174205.22"
"7","147132.46"
"10","109614.57"
"8","172290.61"
"4","85982.47"
"10","121277.78"
"9","64595.25"
"8","197276.13"
"8","99645.04"
"9","6534.18"
"6","161848.03"
"6","167162.43"
"9","41970.72"
"7","60536.56"
"1","177655.68"
"4","30984.59"
"1","10054.53"
"2","36976.52"
"5","71862.79"
"9","99449.86"
"3","63082.88"
"7","27231.26"
"2","86797.41"
"9","22994.32"
"9","101300.94"
"9","74169.13"
"6","115638.29"
"1","31766.3"
"8","199725.39"
"4","120834.48"
"8","38131.77"
"6","100130.95"
"6","141069.88"
"10","198129.36"
"3","183646.41"
"9","110265.24"
"1","8636.05"
"7","171378.77"
"9","167256.35"
"3","124226.16"
"9","114935.21"
"9","35608.88"
"1","16459.37"
"7","124411.08"
"5","34941.23"
"5","167784.28"
"2","93165.34"
"2","75161.25"
"1","8590.83"
"10","189543.9"
"7","180427.24"
"5","193318.33"
"2","159123.82"
"5","126213.84"
"5","54141.5"
"8","141075.51"
"5","24495.03"
"9","74836.34"
"7","89520.75"
"9","149892.79"
"8","180800.42"
"2","98646.22"
"6","109041.53"
"7","17941.16"
"7","82996.47"
"2","92067.35"
"6","104719.66"
"4","112687.57"
"6","84699.56"
"2","83473.82"
"7","47125.11"
"2","106977.8"
"9","139874.43"
"7","162503.48"
"9","196499.96"
"2","40721.24"
"9","53134.3"
"4","164017.89"
"5","155996.96"
"10","5472.7"
"4","112187.11"
"5","146457.83"
"7","27286.1"
"5","179351.89"
"8","94774.12"
"3","8080.85"
"2","19482.5"
"2","48071.61"
"1","174531.27"
"2","55470.78"
"4","8546.87"
"8","95857.18"
"1","194945.8"
"5","196108.51"
"7","148564.76"
"8","92982.61"
"3","17675.36"
"1","114996.43"
"8","86957.42"
"9","128077.8"
"3","600.36"
"6","43001.46"
"3","158591.12"
"10","47847.19"
"6","10488.44"
"2","5978.2"
"4","121409.06"
"5","146145.93"
"2","14374.86"
"3","94670.77"
"3","179670.31"
"3","199304.74"
"5","151954.39"
"5","142513.5"
"2","158264.62"
"2","169381.9"
"8","169915.02"
"9","88852.47"
"1","40645.81"
"4","60427.3"
"7","157959.02"
"7","133007.34"
"9","176576.62"
"1","34888.04"
"8","28737.71"
"9","98178.57"
"7","125010.24"
"2","167984.61"
"10","4861.72"
"6","108872.45"
"4","198252.88"
"9","26960.31"
"6","85746.52"
