"Tahun_Bekerja","Gaji"
"1","112542.58"
"1","93826.63"
"7","10062.8"
"3","76390.01"
"10","26260.98"
"5","190857.79"
"7","65951.65"
"3","64327.26"
"1","5097.67"
"9","14406.41"
"3","8487.75"
"5","187616.16"
"3","124508.29"
"9","38433.35"
"3","100187.43"
"3","140469.38"
"7","156731.91"
"9","81898.81"
"9","142033.07"
"3","114066.77"
"7","98453.45"
"7","40812.9"
"5","158338.39"
"9","119708.21"
"9","117622.8"
"10","198059.16"
"5","86424.57"
"5","116978.19"
"1","40014.76"
"1","113410.49"
"5","87107.57"
"5","84509.57"
"9","126494.82"
"1","178798.13"
"1","110431.51"
"10","196673.28"
"5","113656.85"
"5","58426.81"
"9","145562.4"
"1","22388"
"9","148210.64"
"5","194239.63"
"10","98301.61"
"1","171413.66"
"3","26019.59"
"10","114675.75"
"3","128643.35"
"9","151869.35"
"3","156791.36"
"5","174205.22"
"7","147132.46"
"10","109614.57"
"10","121277.78"
"9","64595.25"
"9","6534.18"
"9","41970.72"
"7","60536.56"
"1","177655.68"
"1","10054.53"
"5","71862.79"
"9","99449.86"
"3","63082.88"
"7","27231.26"
"9","22994.32"
"9","101300.94"
"9","74169.13"
"1","31766.3"
"10","198129.36"
"3","183646.41"
"9","110265.24"
"1","8636.05"
"7","171378.77"
"9","167256.35"
"3","124226.16"
"9","114935.21"
"9","35608.88"
"1","16459.37"
"7","124411.08"
"5","34941.23"
"5","167784.28"
"1","8590.83"
"10","189543.9"
"7","180427.24"
"5","193318.33"
"5","126213.84"
"5","54141.5"
"5","24495.03"
"9","74836.34"
"7","89520.75"
"9","149892.79"
"7","17941.16"
"7","82996.47"
"7","47125.11"
"9","139874.43"
"7","162503.48"
"9","196499.96"
"9","53134.3"
"5","155996.96"
"10","5472.7"
"5","146457.83"
"7","27286.1"
"5","179351.89"
"3","8080.85"
"1","174531.27"
"1","194945.8"
"5","196108.51"
"7","148564.76"
"3","17675.36"
"1","114996.43"
"9","128077.8"
"3","600.36"
"3","158591.12"
"10","47847.19"
"5","146145.93"
"3","94670.77"
"3","179670.31"
"3","199304.74"
"5","151954.39"
"5","142513.5"
"9","88852.47"
"1","40645.81"
"7","157959.02"
"7","133007.34"
"9","176576.62"
"1","34888.04"
"9","98178.57"
"7","125010.24"
"10","4861.72"
"9","26960.31"
"3","61048.53"
"1","111981.19"
"1","156105.03"
"3","150135.38"
"5","93146.11"
"3","55803.96"
"5","124052.97"
"7","62030.06"
"10","131953.23"
"7","79414"
"1","199638.56"
"5","99805.99"
"1","97932.68"
"10","198637.34"
"3","140075.55"
"9","65323.11"
"9","18606.23"
"9","123137.01"
"7","13898.31"
"7","81259.25"
"7","161051.75"
"9","191599.67"
"3","48559.19"
"1","186339.74"
"7","110899.3"
"3","11199.04"
"10","189992.97"
"1","152167.79"
"10","68143.93"
"7","25885.72"
"7","34577.36"
"5","161229.84"
"5","181694.44"
"10","79078.91"
"9","137316.32"
"5","194926.86"
"7","51285.49"
"9","150401.53"
"3","112491.96"
"7","155853.52"
"5","103737.82"
"10","160990.27"
"1","28257.63"
"7","31824.29"
"3","171463.83"
"3","57175.32"
"9","28714.34"
"3","85426.28"
"1","182855.42"
"3","107640.25"
"9","108761.05"
"1","179012.3"
"7","95145.14"
"7","72143.44"
"1","19162.89"
"7","116828.51"
"3","174652.51"
"5","14109.85"
"10","43527.4"
"5","38970.14"
"7","30380.12"
"7","90908.95"
"9","138275.01"
"3","32171.79"
"1","126143.23"
"5","129892.93"
"3","102416.84"
"7","61936.22"
"1","147224.27"
"9","174248.52"
"1","123547.28"
"3","32790.02"
"3","181543.67"
"9","189543.19"
"9","10940.4"
"9","199493.38"
"3","188193.25"
"9","172572.64"
"1","113428.77"
"1","187658.09"
"7","172459.39"
"10","122381.02"
"9","111020.24"
"7","123775.15"
"10","146700.22"
"3","82463.69"
"9","15928.49"
"10","9262.77"
"7","84932.4"
"3","71557.12"
"9","77405.95"
"3","371.05"
"9","145894.9"
"1","183840.51"
"1","108887.44"
"9","45909.87"
"9","173779.25"
"10","159585.61"
"3","106761.47"
"10","129590.18"
"1","80006.65"
"3","140451.52"
"9","187929.43"
"5","11384.45"
"9","94898.1"
"3","93524.19"
"7","8128.32"
"9","48963.59"
"9","98368.24"
"10","148584.61"
"9","76192.21"
"1","134600.94"
"3","72467.99"
"3","85578.63"
"10","119666"
"3","164104.74"
"3","80190.36"
"9","84126.75"
"7","70179"
"3","145704.19"
"1","183049.41"
"7","40084.32"
"9","119232.33"
"7","43921.36"
"3","62222.81"
"5","164253.35"
"3","7666.73"
"3","68487.51"
"1","199273.98"
"1","195711.16"
"3","36692.17"
"3","106920.57"
"9","68777.26"
"9","18924.92"
"5","71905.77"
"3","184843.77"
"10","176730.02"
"1","20629.4"
"1","102750.7"
"1","183598.77"
"7","108469.2"
"5","160249.1"
"9","144995.33"
"9","150227.85"
"7","75248.3"
"3","14353.43"
"9","100127.71"
"1","196356.17"
"5","142838.64"
"5","88721.84"
"5","74135.48"
"9","111346.22"
"5","31474.27"
"7","21198.39"
"5","117202.19"
"10","161811.23"
"5","71095.41"
"3","67110.59"
"9","88225.02"
"10","62256.87"
"7","135925.72"
"1","188574.12"
"7","119175.45"
"5","139093.73"
"3","96463.25"
"3","38411.79"
"1","77783.35"
"10","76773.53"
"7","54018.93"
"1","70649.64"
"10","59093.39"
"9","127569.8"
"5","18260.98"
"1","73275.96"
"9","153237.59"
"7","87822.14"
"7","41879.99"
"7","75808.1"
"1","47911.03"
"3","28737.78"
"10","121562.33"
"7","55003.79"
"3","193131.42"
"3","191932.27"
"5","159418.1"
"3","191468.78"
"3","38913.68"
"5","705.18"
"7","138490.03"
"1","82970.69"
"1","71244.59"
"1","37938.74"
"5","74890.58"
"7","166698.18"
"1","62678.53"
"1","67740.08"
"9","161519.77"
"10","159835.78"
"3","30876.84"
"3","75685.97"
"3","6057.81"
"9","77077.14"
"1","54954.51"
"9","35588.07"
"5","117356.14"
"1","160696.72"
"7","56594.36"
"9","25095.03"
"9","107811.28"
"9","30838.51"
"5","9221.78"
"7","169654.57"
"9","69829.4"
"5","54926.51"
"10","94728.49"
"9","80393.27"
"10","19834.32"
"5","78397.24"
"10","172749.65"
"1","77866.91"
"7","86945"
"9","71154.1"
"10","151887.16"
"5","75888.65"
"3","89566.74"
"7","126355.8"
"1","93839.3"
"1","145593.85"
"3","45042.56"
"1","61108.56"
"10","62674.42"
"3","12120.79"
"5","55022.43"
